left_hand_active_crop,right_hand_active_crop,left_hand_active,right_hand_active,iou,time,id,path_l,hand_in_focus
False,True,False,False,0.0,56.533,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,False,False,False,0.0,57.067,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,False,False,False,0.0,57.6,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,True,False,False,0.0,58.133,C00028_RTT left side1_1,C00028/C00028_RTT left side1_1.csv,left
False,False,True,False,0.0261,0.0,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,False,False,False,0.0253,0.396,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,False,False,False,0.0243,0.792,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,False,True,False,0.0243,1.188,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,False,True,False,0.025,1.584,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,False,0.0538,1.98,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.4284,2.376,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.8689,2.772,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.6675,3.168,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.7595,3.564,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,,3.96,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,,4.356,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,,4.752,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.4479,5.149,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,True,False,True,0.132,5.545,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,False,False,False,0.0378,5.941,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,False,False,False,0.0299,6.337,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,False,True,0.1944,6.733,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,False,True,True,,7.129,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,,7.525,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,,7.921,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.623,8.317,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.7708,8.713,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.1719,9.109,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,False,True,False,0.027,9.505,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,True,True,True,0.0476,9.901,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.4769,10.297,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.7384,10.693,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.5692,11.089,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.4428,11.485,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,False,True,0.3054,11.881,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,True,False,True,0.0619,12.277,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,False,True,0.0854,12.673,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,False,True,0.3928,13.069,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.446,13.465,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.6001,13.861,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,False,True,0.7198,14.257,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.3414,14.653,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,True,True,True,0.0384,15.05,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.1007,15.446,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.6906,15.842,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.6512,16.238,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.8308,16.634,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,False,True,0.4245,17.03,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,True,False,True,0.2015,17.426,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,False,True,0.0453,17.822,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,False,False,True,0.0461,18.218,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,True,False,True,0.187,18.614,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,True,False,True,0.3873,19.01,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.7257,19.406,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.7071,19.802,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.5582,20.198,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,True,True,True,0.0752,20.594,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,False,True,False,0.0289,20.99,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,False,True,False,0.0289,21.386,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.2422,21.782,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.9149,22.178,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.7971,22.574,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,False,True,0.574,22.97,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,True,False,True,0.3145,23.366,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,False,True,0.1796,23.762,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,True,False,True,0.0367,24.158,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,False,False,False,0.0208,24.554,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,True,False,True,0.0552,24.95,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,False,True,0.1872,25.347,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,True,False,True,0.2833,25.743,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,False,True,,26.139,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.6459,26.535,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.8019,26.931,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.2743,27.327,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,False,True,True,0.0233,27.723,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,False,True,True,0.0181,28.119,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.1014,28.515,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.6133,28.911,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.9149,29.307,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.8996,29.703,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,False,True,0.4946,30.099,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,True,False,True,0.4237,30.495,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,True,False,True,0.1752,30.891,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,False,False,False,0.0243,31.287,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,False,False,False,0.0214,31.683,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,True,False,True,0.043,32.079,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,True,False,True,0.2447,32.475,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,False,True,0.3537,32.871,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,False,True,0.4078,33.267,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.685,33.663,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.8676,34.059,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.4291,34.455,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,True,False,True,0.0379,34.851,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,False,True,False,0.0183,35.248,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,False,True,False,0.0154,35.644,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,True,True,True,0.045,36.04,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.5528,36.436,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.8024,36.832,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.6965,37.228,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.6133,37.624,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.6039,38.02,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,False,False,True,0.0314,38.416,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,False,True,False,0.0134,38.812,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,False,True,False,0.0207,39.208,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.3008,39.604,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.5997,40.0,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,,40.396,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.711,40.792,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.8308,41.188,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.2027,41.584,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,False,True,False,0.0142,41.98,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,False,True,False,0.0102,42.376,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.1576,42.772,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.8042,43.168,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,,43.564,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,,43.96,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,,44.356,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,,44.752,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,False,True,0.041,45.149,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,False,True,False,0.0126,45.545,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,False,True,False,0.0101,45.941,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,True,True,False,0.0293,46.337,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,,46.733,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,,47.129,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,,47.525,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.5928,47.921,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.5455,48.317,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,True,False,True,0.1073,48.713,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,False,True,False,0.0278,49.109,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,False,True,False,0.0282,49.505,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,True,True,False,0.0493,49.901,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.2715,50.297,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.6104,50.693,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,,51.089,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,,51.485,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,,51.881,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,True,False,False,0.0634,52.277,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,False,False,False,0.0238,52.673,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,False,False,False,0.0263,53.069,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,True,False,True,0.0739,53.465,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,,53.861,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,,54.257,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,,54.653,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.7257,55.05,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,True,True,True,0.3909,55.446,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,False,False,False,0.0485,55.842,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,False,True,False,0.0166,56.238,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,False,True,False,0.0183,56.634,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,False,True,False,0.0162,57.03,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,False,True,False,0.0134,57.426,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
True,False,True,False,0.013,57.822,C00028_RTT right side1_1,C00028/C00028_RTT right side1_1.csv,right
False,True,False,True,0.0077,0.0,C00028_RTT right side1_2,C00028/C00028_RTT right side1_2.csv,right
False,False,False,True,0.0084,0.533,C00028_RTT right side1_2,C00028/C00028_RTT right side1_2.csv,right
False,False,False,True,0.0088,1.067,C00028_RTT right side1_2,C00028/C00028_RTT right side1_2.csv,right
False,True,False,True,0.0073,1.6,C00028_RTT right side1_2,C00028/C00028_RTT right side1_2.csv,right
False,True,False,True,0.0208,2.133,C00028_RTT right side1_2,C00028/C00028_RTT right side1_2.csv,right
False,True,False,True,0.0281,2.667,C00028_RTT right side1_2,C00028/C00028_RTT right side1_2.csv,right
False,True,False,True,0.0246,3.2,C00028_RTT right side1_2,C00028/C00028_RTT right side1_2.csv,right
False,True,False,True,0.0,3.733,C00028_RTT right side1_2,C00028/C00028_RTT right side1_2.csv,right
False,True,False,True,0.0,4.267,C00028_RTT right side1_2,C00028/C00028_RTT right side1_2.csv,right
False,True,False,True,0.0,4.8,C00028_RTT right side1_2,C00028/C00028_RTT right side1_2.csv,right
False,False,False,True,0.0,5.333,C00028_RTT right side1_2,C00028/C00028_RTT right side1_2.csv,right
False,False,False,True,0.0149,5.867,C00028_RTT right side1_2,C00028/C00028_RTT right side1_2.csv,right
False,True,False,True,0.0106,6.4,C00028_RTT right side1_2,C00028/C00028_RTT right side1_2.csv,right
